mese,struttura,tipo_ricavo,valore
gennaio,hotel,camere,0.0
gennaio,hotel,extra,3750.0
febbraio,hotel,camere,0.0
febbraio,hotel,extra,3750.0
marzo,hotel,camere,382.7
marzo,hotel,extra,4052.0
aprile,hotel,camere,74611.61
aprile,hotel,extra,56655.9
maggio,hotel,camere,341347.97
maggio,hotel,extra,121897.7
giugno,hotel,camere,458345.84
giugno,hotel,extra,170834.29
luglio,hotel,camere,520121.86
luglio,hotel,extra,193068.7
agosto,hotel,camere,550299.35
agosto,hotel,extra,198290.0
settembre,hotel,camere,49192.91
settembre,hotel,extra,11853.8
