mese,HOTEL,ANGELINA,CVM,F&B,SPIAGGIA,ALTRO_RICAVI,RICAVI_TOT,FISSI,VARIABILI,PERSONALE,ALTRO_COSTI,COSTI_TOT,EBITDA
Gennaio,251.96,0,2659.09,90.91,0.0,3682.85,6684.81,8056.1,1722.08,31508.58,33124.52,74411.28,-67726.47
Febbraio,0.0,0,3699.25,0.0,0.0,3355.7599999999998,7055.01,13120.05,3044.11,15845.11,22170.690000000002,54179.96,-47124.95
Marzo,347.91,0,3520.18,218.17,0.0,3357.42,7443.68,2727.9,4545.780000000001,32968.54,31619.930000000004,71862.15000000001,-64418.47000000001
Aprile,0.0,0,0.0,0.0,0.0,3101.35,3101.35,6322.33,1378.46,64544.97,64607.34999999999,136853.11,-133751.75999999998
Maggio,0.0,0,0.0,0.0,920.26,3073.78,3994.04,29755.190000000002,-628.9,14567.78,-3967.1000000000004,39726.97,-35732.93
Giugno,0.0,0,0.0,0.0,59642.64,9241.31,68883.95,2433.74,645.8199999999999,12257.1,65672.15999999997,81008.81999999998,-12124.86999999998
Luglio,0.0,0,0.0,0.0,62082.71,503073.77,565156.48,89.1,-1120.3,15415.2,10831.379999999997,25215.379999999997,539941.1
Agosto,0.0,0,0.0,0.0,63800.8,10046.880000000001,73847.68000000001,2595.31,-2169.54,12875.070000000002,5640.2699999999995,18941.11,54906.57000000001
Settembre,0.0,0,0.0,0.0,31268.45,3073.77,34342.22,89.1,162.23000000000002,11046.79,-104867.81,-93569.69,127911.91
Ottobre,0.0,0,0.0,0.0,1337.69,104663.64,106001.33,-19578.989999999998,157.4,15798.67,-14301.339999999998,-17924.259999999995,123925.59
Novembre,0.0,0,0.0,0.0,3453.74,3073.78,6527.52,179.1,260.63,16994.059999999998,-89375.58999999998,-71941.79999999999,78469.31999999999
Dicembre,0.0,0,0.0,0.0,0.0,289959.03,289959.03,2709.5899999999997,192.58,23497.2,52308.03999999999,78707.40999999999,211251.62000000005
