Anno,Mese,Ricavi_Gruppo,Personale_Gruppo,Costi_Gruppo,Margine_Gruppo,Margine_Pct,Personale_Pct,Costi_Pct
2024,AGOSTO,903319.72,116862.63,387390.45999999996,515929.2600000001,57.1,12.9,42.9
2024,APRILE,181913.67,25521.66,180629.85,1283.8199999999997,0.7,14.0,99.3
2024,FEBBRAIO,0,1220.15,8471.89,-8471.89,0,0,0
2024,GENNAIO,0,0,0,0,0,0,0
2024,GIUGNO,581124.05,60913.020000000004,400267.68000000005,180856.37,31.1,10.5,68.9
2024,LUGLIO,767783.12,80462.80000000002,406598.95999999996,361184.16000000003,47.0,10.5,53.0
2024,MAGGIO,438024.93,111752.84,254085.38,183939.55,42.0,25.5,58.0
2024,MARZO,15582.470000000001,1216.0,86613.57,-71031.1,-455.8,7.8,555.8
2025,AGOSTO,808340.54,139050.43,278055.64,530284.9,65.6,17.2,34.4
2025,APRILE,115821.17,91363.44,267022.95,-151201.78,-130.5,78.9,230.5
2025,FEBBRAIO,0,0,21015.039999999997,-21015.039999999997,0,0,0
2025,GENNAIO,0,0,0,0,0,0,0
2025,GIUGNO,645918.75,134498.13,296878.39,349040.36,54.0,20.8,46.0
2025,LUGLIO,717037.13,142254.28000000003,839270.3999999999,-122233.27,-17.0,19.8,117.0
2025,MAGGIO,439712.3,123816.45999999999,267508.26,172204.03999999998,39.2,28.2,60.8
2025,MARZO,0,30254.41,79874.7,-79874.7,0,0,0
